Variant,Time,Mean_RFP,Mean_GFP,Mean_Ratio,Mean_SSC,Mean_FSC,sd_RFP,sd_GFP,sd_Ratio,sd_SSC,sd_FSC
40A3,2,590.101432,1411.281026,3.624478651,191040.7637,4663.509547,497.1127484,1537.287137,4.929041095,36101.41157,1546.120926
40A3,5,661.0765579,1603.625519,3.698926981,192684.5911,4574.278932,862.9664442,2944.881059,5.346390245,37023.64699,1490.085676
40A3,10,598.3552279,1397.262735,3.842221875,189492.1609,4493.492627,534.8857502,1808.159736,6.462485347,31556.25234,1439.202068
40A3,15,590.7492188,1443.991406,4.046901927,189075.2,4560.115625,519.9733037,1669.823052,7.564935334,32850.92931,1456.695532
40A3,20,629.6709809,1649.990463,4.149878652,189827.8365,4480.517711,437.6471392,1150.051577,6.050832814,33134.09041,1398.116814
40A3,25,696.280027,1923.820513,4.423602695,189745.4035,4432.994602,463.5831491,1165.237076,8.234422379,32116.57883,1363.088131
40A3,30,777.0173611,2248.582639,4.257059155,189459.9111,4351.964583,574.3018789,1721.155543,6.168157236,31887.92822,1398.334627
40A3,40,1058.040489,3119.116119,3.898243147,188938.5607,4422.750955,759.5515541,2417.467325,4.024306482,30853.88137,1343.5339
40A3,50,1368.552951,4032.999192,3.572891189,189396.1261,4286.933711,775.3300549,2303.777342,2.360678704,30541.8955,1335.596963
40A3,60,1920.508152,5013.707201,3.050135517,189323.1304,4325.886549,946.4541073,2135.276502,3.088697536,30291.92667,1175.619976
40A3,70,2382.942737,5832.909584,2.725511837,190230.6835,4327.094033,1152.655503,2658.47527,1.174200807,30429.89548,1417.789422
40A3,80,3081.736638,6716.89543,2.340709927,188339.8544,4340.494965,1442.145404,4061.801936,0.976063488,26919.61894,1239.756135
40A3,90,3532.208567,6989.114466,2.106427622,189859.9551,3938.990871,1502.433489,3505.309572,0.798130897,28138.22996,1013.316762
40A3,100,4189.817007,7456.176871,1.899432241,189480.4027,4036.754422,1762.47881,3336.162776,0.713786074,27988.23019,1002.852872
40A3,110,5133.11803,8137.070963,1.671182752,189335.4497,4093.141202,2398.258541,5998.558505,0.610043134,29698.08022,1033.147201
40A3,120,5888.450676,8779.977027,1.566645814,189470.4432,4152.1,2429.408462,3950.428955,0.562451679,30658.85793,1097.98781
40A3,150,8780.859319,9861.803763,1.16333469,191546.724,4373.170251,3244.917198,4480.422629,0.39936299,34451.98746,1221.341507
40A3,180,14793.071,11995.15063,0.831775534,184858.1606,4629.453218,5123.18097,5559.14529,0.30853777,27760.3629,1301.369145
40A3,240,34863.87383,14630.24589,0.435037853,192598.5352,4178.215962,13063.03648,6475.927677,0.167872993,36897.42195,1291.067947
57G3,0,539.1209273,1183.119048,3.75727433,189445.1328,4974.118421,389.6314501,1010.905491,6.963435843,34278.83955,1564.489396
57G3,2,518.439829,1097.761148,3.504740172,191356.0122,4928.267563,377.4808479,947.8649253,5.419222752,35625.52542,1626.151747
57G3,5,536.1615018,1120.582837,3.463574725,193244.3004,4546.099523,381.5236513,868.0680604,5.180380739,37061.22521,1440.753308
57G3,10,535.9570552,1113.477846,3.281185257,188413.2079,4559.561009,413.385563,1257.421335,5.544757836,30855.76753,1465.314019
57G3,15,525.9267342,1176.60873,3.697802511,189463.1458,4517.48636,382.9322811,651.54512,6.096433649,33170.52418,1449.778833
57G3,20,587.182133,1419.234072,4.045176352,189474.0388,4447.221607,433.0122915,1383.303545,7.279233779,33683.18006,1388.434142
57G3,25,645.5984743,1685.171983,4.231162511,189887.3786,4403.542996,426.1977111,802.1416966,6.520983348,34448.15937,1361.761396
57G3,30,743.2867084,2115.126653,4.330294574,188991.7773,4210.551844,562.1909066,1752.200198,5.095986391,32808.90679,1339.615848
57G3,40,880.4630724,2929.274003,4.673786151,188416,4183.155096,510.2648217,1289.190856,6.963866233,30015.99672,1449.059294
57G3,50,1093.404874,3834.886006,4.498325834,191401.0566,4281.608491,600.1832362,1585.962848,4.25503389,32641.55405,1238.542283
57G3,60,1375.748729,4833.562092,4.499518338,190709.4031,4156.573711,701.5161576,1881.454522,5.554740417,31373.74365,1197.583818
57G3,70,1614.244089,5915.830671,4.321921237,191637.8377,4007.857508,895.3257308,3053.994663,2.414454477,33342.51841,1155.459565
57G3,80,1860.442662,6631.695269,4.154880708,189056.5132,4428.590217,857.008519,2553.578178,2.480000313,28603.00228,1520.233753
57G3,90,1938.986591,6939.122089,4.135251485,187973.7361,4018.503176,1053.031809,3313.816714,2.294609543,27527.31211,1555.770594
57G3,100,2113.247167,7412.525496,4.030406268,186460.8272,3972.854816,1416.51408,5133.651538,2.389487782,25566.32442,1018.049323
57G3,110,2268.520727,7883.090909,3.932687268,188725.8065,4011.575273,1178.325069,3628.945284,2.281503855,29699.54805,1158.738889
57G3,120,2462.136422,8366.073359,3.782449798,188039.0837,4200.144144,1286.594504,4267.369893,1.67846722,29060.25295,1163.040733
57G3,150,2952.316114,9840.82421,3.684411723,191166.6677,4356.997687,1421.703364,4553.607421,1.960538142,33483.17432,1278.194327
57G3,180,3748.116643,11758.43172,3.385384008,185141.5306,4799.032006,1589.526612,5040.727775,1.324663469,28563.18591,1519.717587
57G3,240,5932.456509,14710.12726,2.688964198,192033.7747,4119.716871,4803.84846,6414.798637,1.047426777,36423.62415,1174.879039
